frame_number,chosen_traj_idx,time_elapsed
0.0,3.0,3.0293102264404297
7.0,3.0,4.107047080993652
14.0,3.0,5.16356897354126
21.0,2.0,6.231520891189575
28.0,3.0,7.308421611785889
35.0,2.0,8.382313966751099
42.0,3.0,9.444487810134888
49.0,3.0,10.50866961479187
56.0,3.0,11.600225448608398
63.0,4.0,12.696317195892334
70.0,4.0,13.797413110733032
77.0,6.0,14.888200283050537
84.0,6.0,15.98266887664795
91.0,2.0,17.076990127563477
98.0,3.0,18.182112455368042
105.0,2.0,19.29760193824768
112.0,4.0,20.395319938659668
119.0,0.0,21.50187349319458
126.0,1.0,22.6296124458313
133.0,0.0,23.743072509765625
140.0,6.0,24.868678092956543
